country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,num_pollutants_reported,ts_hour,hour_of_day,day_of_week,AQI_official,AQI_simple,AQI_category
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2025-11-24 19:00:00,11.654054,92.734055,10.0,,,9.0,,,,2,2025-11-24 19:00:00,19,0,200.0,10.0,Moderate
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-24 19:00:00,16.5150833,80.5181667,21.0,4.0,22.0,37.0,99.0,54.0,7.0,7,2025-11-24 19:00:00,19,0,323.8461538461538,99.0,Very Poor
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-11-24 19:00:00,14.675886,77.593027,26.0,4.0,21.0,36.0,48.0,40.0,12.0,7,2025-11-24 19:00:00,19,0,353.1360946745562,48.0,Very Poor
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-24 19:00:00,14.465052,78.824187,32.0,5.0,23.0,30.0,52.0,46.0,14.0,7,2025-11-24 19:00:00,19,0,388.28402366863907,52.0,Very Poor
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-11-24 19:00:00,16.9872867,81.7363176,31.0,3.0,17.0,23.0,,77.0,13.0,6,2025-11-24 19:00:00,19,0,382.4260355029586,77.0,Very Poor
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-24 19:00:00,13.67,79.35,28.0,1.0,15.0,7.0,30.0,38.0,6.0,7,2025-11-24 19:00:00,19,0,364.85207100591714,38.0,Very Poor
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-11-24 19:00:00,16.536107,80.594233,32.0,4.0,21.0,37.0,87.0,80.0,15.0,7,2025-11-24 19:00:00,19,0,388.28402366863907,87.0,Very Poor
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-11-24 19:00:00,16.509717,80.612222,33.0,4.0,48.0,28.0,62.0,61.0,13.0,7,2025-11-24 19:00:00,19,0,394.14201183431953,62.0,Very Poor
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-11-24 19:00:00,16.554731,80.64911,35.0,,10.0,98.0,63.0,,14.0,5,2025-11-24 19:00:00,19,0,407.1875,98.0,Severe
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-11-24 19:00:00,17.72,83.3,20.0,4.0,19.0,86.0,113.0,139.0,14.0,7,2025-11-24 19:00:00,19,0,317.98816568047334,139.0,Very Poor
