country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,num_pollutants_reported,ts_hour,hour_of_day,day_of_week,AQI_official,AQI_simple,AQI_category,PC1,PC2,PC3
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2025-11-24 19:00:00,11.654054,92.734055,10.0,,,9.0,,,,2,2025-11-24 19:00:00,19,0,200.0,10.0,Moderate,-0.7869183841279763,0.43649713800463263,0.840486040620406
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-24 19:00:00,16.5150833,80.5181667,21.0,4.0,22.0,37.0,99.0,54.0,7.0,7,2025-11-24 19:00:00,19,0,323.8461538461538,99.0,Very Poor,-1.6706309830164336,-0.5632858294537422,0.22270136425528408
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-11-24 19:00:00,14.675886,77.593027,26.0,4.0,21.0,36.0,48.0,40.0,12.0,7,2025-11-24 19:00:00,19,0,353.1360946745562,48.0,Very Poor,-1.9584132785631456,-0.2718926211789797,0.24632888767802819
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-24 19:00:00,14.465052,78.824187,32.0,5.0,23.0,30.0,52.0,46.0,14.0,7,2025-11-24 19:00:00,19,0,388.2840236686391,52.0,Very Poor,-1.7505329521251352,-0.07518297772429745,0.3902302379399274
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-11-24 19:00:00,16.9872867,81.7363176,31.0,3.0,17.0,23.0,,77.0,13.0,6,2025-11-24 19:00:00,19,0,382.4260355029586,77.0,Very Poor,-1.3479823408164648,0.09126132741450442,-0.0679251612762693
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-24 19:00:00,13.67,79.35,28.0,1.0,15.0,7.0,30.0,38.0,6.0,7,2025-11-24 19:00:00,19,0,364.85207100591714,38.0,Very Poor,-2.611325780866619,-0.3791169747321143,0.2330174223866753
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-11-24 19:00:00,16.536107,80.594233,32.0,4.0,21.0,37.0,87.0,80.0,15.0,7,2025-11-24 19:00:00,19,0,388.2840236686391,87.0,Very Poor,-1.4235048722205375,0.010074120705587244,-0.00652986559420682
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-11-24 19:00:00,16.509717,80.612222,33.0,4.0,48.0,28.0,62.0,61.0,13.0,7,2025-11-24 19:00:00,19,0,394.14201183431953,62.0,Very Poor,-1.3803323239867913,-0.13184883485548934,0.5113401653773304
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-11-24 19:00:00,16.554731,80.64911,35.0,,10.0,98.0,63.0,,14.0,5,2025-11-24 19:00:00,19,0,407.1875,98.0,Severe,-0.614829587898244,-0.6360949835252722,-0.7115546941179953
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-11-24 19:00:00,17.72,83.3,20.0,4.0,19.0,86.0,113.0,139.0,14.0,7,2025-11-24 19:00:00,19,0,317.98816568047334,139.0,Very Poor,-0.827554545161703,-0.46565861565475675,-0.7313365396632269
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2025-11-24 19:00:00,27.103358,93.679645,9.0,,6.0,5.0,46.0,39.0,8.0,6,2025-11-24 19:00:00,19,0,187.46835443037972,46.0,Moderate,-2.471181157802915,-0.2397033827444654,1.0649001199498846
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24 19:00:00,26.071318,91.87488,48.0,4.0,7.0,23.0,88.0,109.0,7.0,7,2025-11-24 19:00:00,19,0,487.625,109.0,Severe,-1.3900508138581695,-0.359236777081614,-0.10027976974199942
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-11-24 19:00:00,26.2028636,91.70046436,9.0,5.0,2.0,24.0,53.0,,24.0,6,2025-11-24 19:00:00,19,0,187.46835443037972,53.0,Moderate,-1.7901733177713968,0.8461292144366753,0.07733661752219004
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-11-24 19:00:00,26.10887,91.589544,47.0,6.0,15.0,17.0,74.0,65.0,14.0,7,2025-11-24 19:00:00,19,0,481.4375,74.0,Severe,-1.438333182452987,0.10024982183887782,0.396342543800828
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-11-24 19:00:00,26.1875,91.744194,20.0,,,17.0,33.0,40.0,34.0,5,2025-11-24 19:00:00,19,0,317.98816568047334,40.0,Very Poor,-1.7075222466741202,1.3930411885123621,0.9137661596625924
